Energy(eV),Counts(Arb. Unit)
698.3,0
698.35,0
698.4,0
698.45,0
698.5,0
698.55,0
698.6,0
698.65,0
698.7,0
698.75,0
698.8,0
698.85,0
698.9,0
698.95,0
699,0
699.05,0
699.1,0
699.15,0
699.2,0
699.25,0
699.3,0
699.35,0
699.4,0
699.45,0
699.5,0
699.55,0
699.6,0
699.65,0
699.7,0
699.75,0
699.8,0
699.85,0
699.9,0
699.95,0
700,0
700.05,0
700.1,0
700.15,0
700.2,0
700.25,0
700.3,0
700.35,0
700.4,0
700.45,0
700.5,0
700.55,0
700.6,0
700.65,0
700.7,0
700.75,0
700.8,0
700.85,0
700.9,0
700.95,0
701,0
701.05,0
701.1,0
701.15,0
701.2,0
701.25,0
701.3,0
701.35,0
701.4,0
701.45,0
701.5,0
701.55,0
701.6,0
701.65,0
701.7,0
701.75,0
701.8,0
701.85,0
701.9,0
701.95,0
702,0
702.05,0
702.1,0
702.15,0
702.2,0
702.25,0
702.3,0
702.35,0
702.4,0
702.45,0
702.5,0
702.55,0
702.6,0
702.65,0
702.7,0
702.75,0
702.8,0
702.85,0
702.9,0
702.95,0
703,0
703.05,0
703.1,0
703.15,0
703.2,0
703.25,0
703.3,0
703.35,0
703.4,0
703.45,0
703.5,0
703.55,0
703.6,0
703.65,0
703.7,0
703.75,0
703.8,0
703.85,0
703.9,0
703.95,0
704,0
704.05,0
704.1,0
704.15,0
704.2,0
704.25,0
704.3,0
704.35,0
704.4,0
704.45,0
704.5,0
704.55,0
704.6,0
704.65,0
704.7,-14.1228
704.75,7.772217
704.8,7.276611
704.85,-0.5175781
704.9,4.387207
704.95,10.09302
705,-3.665771
705.05,-15.71997
705.1,-17.09546
705.15,-0.6081543
705.2,-8.516846
705.25,-11.86353
705.3,-45.79907
705.35,-58.27905
705.4,-41.60718
705.45,-30.00439
705.5,-43.28174
705.55,-51.32886
705.6,-35.20728
705.65,-25.59058
705.7,-17.60547
705.75,-25.1499
705.8,-23.13525
705.85,-27.19971
705.9,-27.07788
705.95,-31.75317
706,12.91895
706.05,-22.78003
706.1,-36.9043
706.15,-6.124268
706.2,-11.33618
706.25,29.62256
706.3,36.55908
706.35,89.8313
706.4,86.57349
706.45,122.1853
706.5,168.261
706.55,216.3916
706.6,264.9148
706.65,307.4126
706.7,332.9912
706.75,385.9048
706.8,420.0869
706.85,471.1956
706.9,501.7461
706.95,514.9697
707,571.3508
707.05,604.2402
707.1,604.3594
707.15,678.9832
707.2,681.8794
707.25,732.417
707.3,779.6755
707.35,815.2104
707.4,880.9023
707.45,955.7942
707.5,1009.585
707.55,1080.422
707.6,1143.595
707.65,1192.79
707.7,1279.602
707.75,1342.052
707.8,1431.284
707.85,1530.71
707.9,1624.516
707.95,1733.791
708,1879.142
708.05,2000.014
708.1,2152.092
708.15,2340.874
708.2,2505.093
708.25,2755.05
708.3,2920.479
708.35,3109.53
708.4,3338.964
708.45,3518.286
708.5,3721.602
708.55,3961.934
708.6,4168.593
708.65,4344.751
708.7,4490.664
708.75,4704.911
708.8,4889.873
708.85,4981.043
708.9,5107.744
708.95,5299.137
709,5457.655
709.05,5674.741
709.1,5748.304
709.15,5797.969
709.2,5951.369
709.25,6099.887
709.3,6284.006
709.35,6465.045
709.4,6606.508
709.45,6808.255
709.5,7034.04
709.55,7210.777
709.6,7409.938
709.65,7511.692
709.7,7725.341
709.75,7960.037
709.8,8034.444
709.85,8119.674
709.9,8210.885
709.95,8382.226
710,8307.393
710.05,8337.98
710.1,8367.477
710.15,8256.174
710.2,8216.783
710.25,8171.994
710.3,8128.131
710.35,8083.021
710.4,7918.501
710.45,7727.687
710.5,7554.315
710.55,7352.743
710.6,7291.395
710.65,7039.841
710.7,6788.268
710.75,6597.429
710.8,6396.736
710.85,6129.804
710.9,5955.295
710.95,5884.9
711,5592.278
711.05,5361.929
711.1,5208.083
711.15,5059.012
711.2,4893.357
711.25,4748.545
711.3,4670.395
711.35,4522.994
711.4,4348.181
711.45,4218.785
711.5,4094.267
711.55,4016.854
711.6,3850.466
711.65,3747.639
711.7,3585.384
711.75,3493.16
711.8,3377.527
711.85,3268.132
711.9,3142.398
711.95,3091.375
712,2974.99
712.05,2845.23
712.1,2752.055
712.15,2681.331
712.2,2608.763
712.25,2546.032
712.3,2494.22
712.35,2431.593
712.4,2379.851
712.45,2326.205
712.5,2274.376
712.55,2234.447
712.6,2188.848
712.65,2173.847
712.7,2141.212
712.75,2047.818
712.8,1963.512
712.85,1929.865
712.9,1857.598
712.95,1841.695
713,1803.744
713.05,1732.35
713.1,1693.28
713.15,1629.266
713.2,1568.136
713.25,1554.079
713.3,1547.636
713.35,1529.588
713.4,1486.139
713.45,1437.896
713.5,1387.88
713.55,1389.913
713.6,1349.743
713.65,1317.706
713.7,1263.087
713.75,1245.895
713.8,1226.13
713.85,1187.229
713.9,1164.868
713.95,1123.449
714,1094.832
714.05,1053.786
714.1,1027.942
714.15,997.7019
714.2,993.9922
714.25,978.9297
714.3,978.679
714.35,957.7339
714.4,911.7642
714.45,913.054
714.5,847.6875
714.55,820.7002
714.6,816.5217
714.65,792.3625
714.7,786.9458
714.75,725.5818
714.8,722.6003
714.85,744.9014
714.9,735.6453
714.95,683.5891
715,654.6826
715.05,664.3464
715.1,653.5471
715.15,662.0757
715.2,644.7849
715.25,602.4675
715.3,557.2349
715.35,557.2129
715.4,601.5183
715.45,560.6006
715.5,572.2632
715.55,548.3372
715.6,528.3218
715.65,518.5215
715.7,496.6128
715.75,505.2603
715.8,524.334
715.85,499.9434
715.9,526.2759
715.95,475.1172
716,452.4033
716.05,409.1475
716.1,387.3267
716.15,403.7734
716.2,409.5347
716.25,372.6035
716.3,397.8882
716.35,399.3306
716.4,402.7954
716.45,393.9063
716.5,406.4888
716.55,373.272
716.6,359.9302
716.65,342.832
716.7,307.6294
716.75,336.4087
716.8,356.3257
716.85,311.395
716.9,318.1528
716.95,347.1484
717,327.2358
717.05,284.9658
717.1,289.7539
717.15,309.688
717.2,320.5156
717.25,342.0122
717.3,343.8057
717.35,345.4395
717.4,335.6406
717.45,298.8218
717.5,291.2891
717.55,300.2905
717.6,317.3013
717.65,262.9507
717.7,254.4531
717.75,234.9541
717.8,245.9106
717.85,199.1772
717.9,176.9507
717.95,186.5508
718,225.1235
718.05,224.6069
718.1,222.48
718.15,219.0103
718.2,172.5474
718.25,198.1338
718.3,200.1309
718.35,152.3828
718.4,126.4756
718.45,101.3867
718.5,82.10742
718.55,91.29639
718.6,70.71533
718.65,108.7056
718.7,85.73242
718.75,91.26465
718.8,79.03955
718.85,112.4746
718.9,173.019
718.95,139.8027
719,114.2495
719.05,128.542
719.1,144.2979
719.15,100.5728
719.2,113.2725
719.25,113.6343
719.3,111.835
719.35,124.8452
719.4,94.0249
719.45,92.80176
719.5,99.88965
719.55,123.8066
719.6,108.1626
719.65,120.6113
719.7,100.5254
719.75,161.1899
719.8,125.5366
719.85,186.5483
719.9,170.0117
719.95,173.1167
720,198.3882
720.05,234.9443
720.1,297.9946
720.15,288.0352
720.2,274.0269
720.25,345.0879
720.3,393.7695
720.35,409.4292
720.4,442.5386
720.45,412.4668
720.5,445.1714
720.55,422.6616
720.6,434.4224
720.65,433.3052
720.7,478.877
720.75,498.5645
720.8,483.8965
720.85,500.8027
720.9,527.6167
720.95,553.7319
721,576.1846
721.05,611.689
721.1,573.4966
721.15,612.0591
721.2,682.9653
721.25,718.936
721.3,805.4473
721.35,796.5605
721.4,852.7559
721.45,901.0005
721.5,954.5737
721.55,979.4238
721.6,1005.648
721.65,1047.439
721.7,1127.249
721.75,1151.672
721.8,1202.69
721.85,1214.237
721.9,1261.462
721.95,1326.598
722,1365.639
722.05,1433.517
722.1,1447.898
722.15,1455.046
722.2,1444.033
722.25,1454.224
722.3,1463.833
722.35,1432.325
722.4,1405.203
722.45,1420.938
722.5,1441.704
722.55,1365.181
722.6,1369.921
722.65,1440.987
722.7,1423.469
722.75,1409.603
722.8,1338.982
722.85,1389.35
722.9,1374.373
722.95,1375.067
723,1367.187
723.05,1374.116
723.1,1369.865
723.15,1356.859
723.2,1295.532
723.25,1295.888
723.3,1305.228
723.35,1293.947
723.4,1333.502
723.45,1316.382
723.5,1314.331
723.55,1281.652
723.6,1341.949
723.65,1322.437
723.7,1352.605
723.75,1351.76
723.8,1340.776
723.85,1319.824
723.9,1271.088
723.95,1261.313
724,1195.682
724.05,1190.922
724.1,1154.151
724.15,1144.55
724.2,1125.613
724.25,1109.907
724.3,1051.252
724.35,1038.936
724.4,1070.945
724.45,1048.942
724.5,1037.885
724.55,1009.079
724.6,1023.331
724.65,958.7891
724.7,964.5596
724.75,913.3198
724.8,911.542
724.85,883.73
724.9,848.7686
724.95,847.4927
725,765.4639
725.05,726.3472
725.1,728.7852
725.15,702.377
725.2,653.644
725.25,656.5474
725.3,630.4517
725.35,596.1313
725.4,579.022
725.45,579.3174
725.5,524.8281
725.55,475.5552
725.6,474.6611
725.65,433.0947
725.7,440.2495
725.75,427.2998
725.8,391.4678
725.85,406.3213
725.9,395.7114
725.95,380.3311
726,366.7759
726.05,315.1519
726.1,311.8652
726.15,294.5684
726.2,245.5698
726.25,246.9609
726.3,268.397
726.35,233.5034
726.4,217.5825
726.45,200.1787
726.5,159.3774
726.55,176.9243
726.6,134.9546
726.65,153.356
726.7,160.2358
726.75,108.3804
726.8,88.86523
726.85,94.55518
726.9,99.38086
726.95,46.76855
727,38.99658
727.05,51.54785
727.1,42.43262
727.15,77.43506
727.2,82.32275
727.25,69.70752
727.3,65.5835
727.35,47.05469
727.4,34.90723
727.45,33.15479
727.5,23.35205
727.55,68.97266
727.6,81.90674
727.65,33.75684
727.7,8.995117
727.75,17.23242
727.8,28.09766
727.85,19.82861
727.9,12.36426
727.95,-33.71387
728,-19.76563
728.05,-15.27441
728.1,-10.29004
728.15,-16.84766
728.2,10.25342
728.25,36.17676
728.3,29.94873
728.35,-31.31152
728.4,-43.0752
728.45,-50.55859
728.5,-28.20996
728.55,-8.036621
728.6,-31.87207
728.65,-48.21924
728.7,-49.22168
728.75,15.63135
728.8,-33.27148
728.85,-36.60986
728.9,-22.28223
728.95,18.89551
729,12.73145
729.05,-21.57715
729.1,17.91553
729.15,5.01416
729.2,38.83154
729.25,-12.25684
